GroupName,ChartName,point_time,point_val,Batch_ID
Default,K,2025/3/10 00:45,0.005,TWAF531498
Default,K,2025/3/11 00:45,0.005,TWAF531498
Default,K,2025/3/12 00:45,0.005,TWAF531498
Default,K,2025/3/13 00:45,0.005,TWAF531498
Default,K,2025/3/14 00:45,0.005,TWAF531498
Default,K,2025/3/15 00:45,0.005,TWAF531498
Default,K,2025/3/16 00:45,0.005,TWAF531498
Default,K,2025/3/17 00:45,0.005,TWAF531498
Default,K,2025/3/18 00:45,0.005,TWAF531498
Default,K,2025/3/19 00:45,0.005,TWAF531498
Default,K,2025/3/20 00:45,0.005,TWAF531498
Default,K,2025/3/21 00:45,0.005,TWAF531498
Default,K,2025/3/22 00:45,0.005,TWAF531498
Default,K,2025/3/23 00:45,0.005,TWAF531498
Default,K,2025/3/24 00:45,0.005,TWAF531498
Default,K,2025/3/25 00:45,0.005,TWAF531498
Default,K,2025/3/26 00:45,0.005,TWAF531498
Default,K,2025/3/27 00:45,0.005,TWAF531498
Default,K,2025/3/28 00:45,0.005,TWAF531498
Default,K,2025/3/29 00:45,0.005,TWAF531498
Default,K,2025/3/30 00:45,0.005,TWAF531498
Default,K,2025/3/31 00:45,0.005,TWAF531498
Default,K,2025/4/1 00:45,0.005,TWAF531498
Default,K,2025/4/2 00:45,0.005,TWAF531498
Default,K,2025/4/3 00:45,0.005,TWAF531498
Default,K,2025/4/4 00:45,0.005,TWAF531498
